name,age,rank
Dominic Stricker,20.6,182
Dominic Thiem,24.6,52
Dominik Hrbaty,25.9,44
Dominik Koepfer,27.8,77
Dominik Meffert,27.2,215
Donald Young,24.2,106
Dong Hyun Kim,23.9,476
Doug Bohaboy,26.0,283
Dovydas Sakinis,18.6,1240
Dragos Dima,26.2,373
Dragos Nicolae Madaras,24.9,290
Duck Hee Lee,20.3,188
Dudi Sela,27.2,84
Duilio Beretta,21.1,497
Duilio Vallebuona,22.6,1541
Duje Ajdukovic,22.7,167
Dusan Lajovic,28.6,69
Dusan Lojda,22.4,169
Dusan Vemic,29.1,322
Dustin Brown,29.8,110
Dzmitry Zhyrmont,25.2,367
Edan Leshem,22.7,434
Edas Butvilas,18.7,1076
Eddy Chala,24.0,1263
Eddy Gonzalez Gonzalez,22.1,-1
Edgar Hernandez Perez,20.7,1287
Edgardo Massa,23.9,251
Edgars Manusis,34.5,-1
Edouard Roger Vasselin,24.3,132
Edouard Roger-Vasselin,29.3,90
Edris Fetisleam,18.6,1167
Eduardo Nava,25.3,1432
Eduardo Rincon,24.3,752
Eduardo Schwank,23.5,86
Eduardo Struvay,24.1,540
Edward Corrie,25.3,330
Edwin Kempes,24.8,144
Eero Vasa,24.9,942
Efe Ustundag,23.6,666
Egor Gerasimov,27.1,145
Egor Matvievici,18.4,-1
Ekkarin Pisuth Arnonth,24.0,920
Elbert Sie,21.2,935
Eldad Campbell,18.1,-1
Eleftherios Christou,24.4,-1
Elias Ymer,23.6,170
Eliot Spizzirri,22.3,376
Elliot Benchetrit,22.7,396
Elmar Gerth,31.5,-1
Elmer Moller,19.9,580
Elvis Henry,29.9,-1
Emanuel Couto,27.8,542
Emil Reinberg,21.2,1032
Emil Ruusuvuori,23.1,87
Emilio Benfele Alvarez,27.8,134
Emilio Daniel Baez Britez,25.9,1135
Emilio Gomez,27.3,243
Emilio Nava,21.0,211
Emin Agaev,23.2,368
Emmanuel Heussner,31.6,-1
Enrique Lopez Perez,25.1,196
Enrique Olivares,25.0,1103
Enzo Couacaud,27.3,188
Enzo Pigola,18.8,-1
Ergi Kirkin,22.2,425
Ergun Zorlu,25.3,866
Erhan Oral,29.3,956
Eric Jr. Olivarez,21.8,-1
Eric Nunez,22.8,531
Eric Prodon,27.1,181
Eric Quigley,26.0,463
Eric Taino,28.2,265
Erik Arutiunian,16.9,-1
Erik Chvojka,25.0,262
Erling Tveit,22.1,862
Ernesto Escobedo,22.6,179
Ernests Gulbis,24.0,80
Ervin Eleskovic,20.4,583
Esat Tanik,20.4,692
Ethan Quinn,19.7,352
Evan Furness,24.1,208
Evan King,23.8,300
Evgenii Tiurnev,22.4,426
Evgeny Donskoy,25.9,106
Evgeny Karlovskiy,24.1,218
Evgeny Kirillov,21.0,610
Evgeny Korolev,20.7,102
Evghenii Plugariov,21.5,1312
Eyal Ran,27.4,384
F Egyir,,-1
Fabian Marozsan,24.3,69
Fabiano De Paula,25.6,458
Fabio Fognini,28.2,46
Fabrice Martin,29.0,350
Fabrice Santoro,31.4,45
Facundo Arguello,22.3,147
Facundo Bagnis,29.3,116
Facundo Diaz Acosta,23.0,97
Facundo Mena,29.9,151
Fadi Youssef,25.9,-1
Faisal Aidil,17.5,1335
Fajing Sun,27.4,380
Faris Zakaryia,23.3,923
Farrukh Dustov,24.4,304
Favel Antonio Freyre Perdomo,19.9,-1
Fazaluddin Syed,25.7,546
Febi Widhiyanto,22.8,743
Federico Agustin Gomez,27.6,238
Federico Browne,26.1,185
Federico Camacho,21.5,1328
Federico Coria,30.1,85
Federico Delbonis,26.7,72
Federico Dondo,29.8,536
Federico Gaio,27.0,174
Federico Luzzi,23.2,157
Federico Rodriguez,24.5,-1
Federico Sansonetti,19.8,1108
Federico Zeballos,27.3,650
Feliciano Lopez,29.6,48
Felipe Meligeni Alves,25.1,176
Felipe Parada,24.2,664
Felipe Rios,18.9,1285
Felix Auger Aliassime,21.2,26
Felix Mantilla,28.0,71
Fernando Gonzalez,25.3,37
Fernando Meligeni,30.3,75
Fernando Romboli,22.0,244
Fernando Verdasco,28.0,38
Fernando Vicente,25.4,66
Filip Cristian Jianu,20.0,284
Filip Dewulf,28.1,221
Filip Horansky,26.9,228
Filip Krajinovic,27.1,76
Filip Misolic,21.7,182
Filip Peliwo,20.5,378
Filip Polasek,22.9,671
Filip Prpic,26.0,475
Filip Urban,22.2,717
Filip Veger,18.1,836
Filippo Baldi,23.0,225
Filippo Volandri,25.8,64
Finn Reynolds,21.6,-1
Finn Tearney,26.7,532
Fitriadi M Rifqi,23.7,928
Flavio Cipolla,27.3,111
Flavio Cobolli,21.7,82
Flavio Saretta,23.5,92
Florent Serra,27.3,76
Florian Mayer,26.8,65
Florin Mergea,21.8,404
Frances Tiafoe,23.1,48
Francesco Aldi,23.9,198
Francesco Maestrelli,19.8,186
Francesco Passaro,22.3,166
Francesco Piccari,29.2,320
Francis Casey Alcantara,20.6,1230
Francisco Cabello,27.6,291
Francisco Cabral,27.5,-1
Francisco Cerundolo,24.7,42
Francisco Clavet,32.4,59
Francisco Comesana,23.6,114
Francisco Costa,27.4,196
Francisco Fogues,27.6,333
Francisco Llanes,17.6,1262
Francisco Rodriguez,26.8,657
Francisco Yim Kim,21.3,-1
Franco Agamenone,29.2,140
Franco Ferreiro,23.4,207
Franco Roncadelli,22.9,528
Franco Squillari,26.2,58
Frank Condor,21.2,374
Frank Dancevic,24.4,172
Frank Moser,28.4,388
Franko Skugor,27.4,294
Frantisek Cermak,28.1,436
Franz Luna Lavidalie,22.2,-1
Fred Hemmes,22.6,236
Fred Simonsson,21.6,674
Freddy Murray,20.1,-1
Frederic Niemeyer,28.7,256
Frederick Sletting Johnsen,20.6,1465
Frederick Sundsten,25.3,-1
Frederico Ferreira Silva,21.9,311
Frederico Gil,24.7,128
Frederik Fetterlein,30.9,663
Frederik Nielsen,28.8,411
Fredrik Aarum,19.5,1332
Fredrik Ask,19.6,1428
Fredrik Jonsson,23.3,147
Fritz Wolmarans,25.2,452
G D Jones,21.0,928
Gabi Adrian Boitan,24.3,483
Gabor Borsos,24.7,819
Gabor Jaross,23.4,976
Gabriel Diallo,22.4,146
Gabriel Donev,23.1,796
Gabriel Flores Ruiz,20.3,-1
