name,age,rank
German Puentes,28.5,99
Gian Marco Moroni,21.4,265
Gianluca Mager,27.1,63
Gianluca Naso,24.5,260
Gianluca Pozzi,36.2,118
Gianluigi Quinzi,21.1,304
Gianni Mina,23.2,269
Gijs Brouwer,28.2,232
Giles Hussey,27.0,359
Gilles Arnaud Bailly,19.0,869
Gilles Elseneer,28.0,156
Gilles Kremer,31.7,1149
Gilles Muller,35.1,95
Gilles Simon,37.8,188
Giorgi Javakhishvili,20.3,1105
Giorgio Galimberti,29.5,204
Giovani Samaha,20.9,1573
Giovanni Lapentti,34.0,641
Giovanni Mpetshi Perricard,21.3,31
Giulio Zeppieri,22.4,148
Gleb Sakharov,29.1,196
Glenn Weiner,28.8,185
Go Soeda,35.3,119
Goncalo Nicau,24.2,586
Gonzalo Bueno,18.8,544
Gonzalo Escobar,28.0,508
Gonzalo Lama,23.2,162
Gonzalo Villanueva,27.5,279
Goran Ivanisevic,32.7,415
Goran Tosic,26.7,499
Gorka Fraile,24.2,231
Gouichi Motomura,32.7,291
Grant Stafford,28.6,472
Greg Jones,23.9,373
Greg Rusedski,33.0,136
Grega Zemlja,30.3,151
Gregoire Barrere,30.1,128
Gregoire Burquier,30.2,205
Gregory Carraz,30.2,125
Grigor Dimitrov,33.4,9
Grzegorz Panfil,24.0,380
Guido Andreozzi,31.9,240
Guido Pella,33.1,228
Guilherme Clezar,25.1,225
Guillaume Couillard,33.2,1387
Guillaume Raoux,30.2,283
Guillaume Rufin,23.2,91
Guillem Burniol,22.6,505
Guillermo Alcaide,24.0,238
Guillermo Canas,31.6,151
Guillermo Carter,25.5,904
Guillermo Coria,26.3,733
Guillermo Garcia Lopez,35.8,115
Guillermo Hormazabal,27.5,289
Guillermo Olaso,25.0,309
Guillermo Rivera Aranguiz,22.0,352
Gunawan Trismuwantara,20.6,2050
Gunther Darkey,26.8,699
Gustavo Heide,22.3,178
Gustavo Kuerten,30.4,804
Gustavo Marcaccio,28.9,406
Gustavo Ramirez,22.6,1210
Gvidas Sabeckis,25.2,564
Gwinyai Tongoona,29.4,691
Gyorgy Balazs,24.9,507
Hady Habib,26.0,268
Haithem Abid,27.7,804
Haluk Akkoyun,30.9,1078
Hamad Medjedovic,21.3,156
Hamid Reza Nadaf,31.2,1588
Hans Hach Verdugo,26.2,621
Hans Podlipnik Castillo,28.1,198
Hao Lu,20.6,1095
Harel Levy,31.4,119
Harold Mayot,22.4,122
Harri Heliovaara,29.2,330
Harry Bourchier,25.0,324
Harsh Mankad,25.4,245
Harshana Godamanna,24.6,1011
Hasan Ibrahim,24.5,1507
Haydn Lewis,26.0,808
Hector Moretti,27.4,228
Hee Seok Chung,29.0,677
Hee Sung Chung,23.1,722
Hei Yin Andrew Li,19.8,1511
Helder Lopes,25.6,561
Helge Koll,26.9,699
Hendri Susilo Pramono,21.2,657
Hendrik Dreekmann,28.3,856
Henri Kontinen,21.2,281
Henri Laaksonen,30.1,96
Henri Squire,23.6,221
Henrik Andersson,26.1,388
Henrik Sillanpaa,24.2,505
Henrique Rocha,20.4,159
Henry Adjei Darko,22.3,426
Henry Searle,18.2,539
Henry So,26.3,1209
Herbert Wiltschnig,24.3,196
Herkko Pollanen,19.1,737
Hermes Gamonal,27.3,263
Hernan Casanova,28.4,321
Hernan Gumy,28.9,132
Hernando Jose Escurra Isnardi,25.1,1329
Hicham Arazi,30.9,41
Hicham Khaddari,22.4,512
Hiroki Kondo,18.9,673
Hiroki Moriya,31.9,253
Hisham Hemeda,22.2,1304
Hiu Tung Yu,24.1,1405
Holger Rune,21.5,13
Hong Chung,23.1,655
Hong Kit Jack Wong,25.4,1643
Horacio Zeballos,33.3,152
Horia Tecau,23.0,550
Hsin Han Lee,22.1,815
Hubert Hurkacz,27.6,8
Hugo Armando,29.8,205
Hugo Dellien,31.2,106
Hugo Gaston,24.1,81
Hugo Grenier,27.9,151
Hugo Nys,31.5,1117
Hyeon Chung,23.4,139
Hyun Joon Kim,23.3,800
Hyun Joon Suk,19.7,1100
Hyun Woo Nam,19.0,831
Hyung Taik Lee,33.5,153
Ian Flanagan,22.3,866
Ignacio Buse,19.8,438
Ignacio Carou,24.1,828
Ignacio Hirigoyen,25.0,333
Igor Andreev,29.0,89
Igor Gaudi,25.2,218
Igor Kornienko,28.3,693
Igor Kunitsyn,30.7,132
Igor Levine,22.9,854
Igor Sijsling,28.9,115
Ilia Kushev,25.5,520
Ilija Bozoljac,25.8,200
Ilija Martinoski,18.5,1107
Iliyan Radulov,19.2,766
Illia Biloborodko,21.3,747
Illya Marchenko,34.1,164
Ilya Belyaev,20.1,334
Ilya Ivashka,29.4,113
Ilya Snitari,21.8,740
Ingo Neumuller,24.3,886
Inigo Cervantes Huegun,26.8,80
Ioannis Xilas,22.7,1286
Ion Moldovan,25.6,393
Iphton Louis,27.9,1334
Irakli Labadze,25.6,171
Irakli Metreveli,17.9,2085
Irakli Ushangishvili,22.4,757
Isaac Becroft,21.8,1016
Isak Arvidsson,24.4,569
Ismar Gorcic,26.7,588
Israel Matos Gil,22.3,512
Issam Al Tawil,23.7,918
Ivan Cerovic,23.9,355
Ivan Dodig,32.5,412
Ivan Endara,27.9,395
Ivan Gakhov,26.4,198
Ivan Ljubicic,32.9,42
Ivan Miranda,30.9,524
Ivan Navarro,30.5,232
Ivan Nedelko,26.3,508
Ivan Sergeyev,22.1,163
Ivan Vajda,23.0,240
